Date2,Date,Open,High,Low,Close*,Adj Close**,Volume
2022-03-04,"Mar 04, 2022",164.49,165.55,162.11,163.17,163.17,83819592
2022-03-03,"Mar 03, 2022",168.47,168.91,165.55,166.23,166.23,76335600
2022-03-02,"Mar 02, 2022",164.39,167.36,162.95,166.56,166.56,79724800
2022-03-01,"Mar 01, 2022",164.70,166.60,161.97,163.20,163.2,83474400
2022-02-28,"Feb 28, 2022",163.06,165.42,162.43,165.12,165.12,94869100
2022-02-25,"Feb 25, 2022",163.84,165.12,160.87,164.85,164.85,91974200
2022-02-24,"Feb 24, 2022",152.58,162.85,152.00,162.74,162.74,141147500
2022-02-23,"Feb 23, 2022",165.54,166.15,159.75,160.07,160.07,90009200
2022-02-22,"Feb 22, 2022",164.98,166.69,162.15,164.32,164.32,91162800
2022-02-18,"Feb 18, 2022",169.82,170.54,166.19,167.30,167.3,82772700
2022-02-17,"Feb 17, 2022",171.03,171.91,168.47,168.88,168.88,69589300
2022-02-16,"Feb 16, 2022",171.85,173.34,170.05,172.55,172.55,61177400
2022-02-15,"Feb 15, 2022",170.97,172.95,170.25,172.79,172.79,62527400
2022-02-14,"Feb 14, 2022",167.37,169.58,166.56,168.88,168.88,86185500
2022-02-11,"Feb 11, 2022",172.33,173.08,168.04,168.64,168.64,98566000
2022-02-10,"Feb 10, 2022",174.14,175.48,171.55,172.12,172.12,90865900
2022-02-09,"Feb 09, 2022",176.05,176.65,174.90,176.28,176.28,71285000
2022-02-08,"Feb 08, 2022",171.73,175.35,171.43,174.83,174.83,74829200
2022-02-07,"Feb 07, 2022",172.86,173.95,170.95,171.66,171.66,77251200
2022-02-04,"Feb 04, 2022",171.68,174.10,170.68,172.39,172.39,82391400
2022-02-03,"Feb 03, 2022",174.48,176.24,172.12,172.90,172.68,89418100
2022-02-02,"Feb 02, 2022",174.75,175.88,173.33,175.84,175.62,84914300
2022-02-01,"Feb 01, 2022",174.01,174.84,172.31,174.61,174.39,86213900
2022-01-31,"Jan 31, 2022",170.16,175.00,169.51,174.78,174.56,115541600
2022-01-28,"Jan 28, 2022",165.71,170.35,162.80,170.33,170.11,179935700
2022-01-27,"Jan 27, 2022",162.45,163.84,158.28,159.22,159.02,121954600
2022-01-26,"Jan 26, 2022",163.50,164.39,157.82,159.69,159.49,108275300
2022-01-25,"Jan 25, 2022",158.98,162.76,157.02,159.78,159.58,115798400
2022-01-24,"Jan 24, 2022",160.02,162.30,154.70,161.62,161.41,162294600
2022-01-21,"Jan 21, 2022",164.42,166.33,162.30,162.41,162.2,122848900
2022-01-20,"Jan 20, 2022",166.98,169.68,164.18,164.51,164.3,91420500
2022-01-19,"Jan 19, 2022",170.00,171.08,165.94,166.23,166.02,94815000
2022-01-18,"Jan 18, 2022",171.51,172.54,169.41,169.80,169.58,90956700
2022-01-14,"Jan 14, 2022",171.34,173.78,171.09,173.07,172.85,80355000
2022-01-13,"Jan 13, 2022",175.78,176.62,171.79,172.19,171.97,84505800
2022-01-12,"Jan 12, 2022",176.12,177.18,174.82,175.53,175.31,74805200
2022-01-11,"Jan 11, 2022",172.32,175.18,170.82,175.08,174.86,76138300
2022-01-10,"Jan 10, 2022",169.08,172.50,168.17,172.19,171.97,106765600
2022-01-07,"Jan 07, 2022",172.89,174.14,171.03,172.17,171.95,86580100
2022-01-06,"Jan 06, 2022",172.70,175.30,171.64,172.00,171.78,96904000
2022-01-05,"Jan 05, 2022",179.61,180.17,174.64,174.92,174.7,94537600
2022-01-04,"Jan 04, 2022",182.63,182.94,179.12,179.70,179.47,99310400
2022-01-03,"Jan 03, 2022",177.83,182.88,177.71,182.01,181.78,104487900
2021-12-31,"Dec 31, 2021",178.09,179.23,177.26,177.57,177.34,64062300
2021-12-30,"Dec 30, 2021",179.47,180.57,178.09,178.20,177.97,59773000
2021-12-29,"Dec 29, 2021",179.33,180.63,178.14,179.38,179.15,62348900
2021-12-28,"Dec 28, 2021",180.16,181.33,178.53,179.29,179.06,79144300
2021-12-27,"Dec 27, 2021",177.09,180.42,177.07,180.33,180.1,74919600
2021-12-23,"Dec 23, 2021",175.85,176.85,175.27,176.28,176.06,68356600
2021-12-22,"Dec 22, 2021",173.04,175.86,172.15,175.64,175.42,92135300
2021-12-21,"Dec 21, 2021",171.56,173.20,169.12,172.99,172.77,91185900
2021-12-20,"Dec 20, 2021",168.28,170.58,167.46,169.75,169.53,107499100
2021-12-17,"Dec 17, 2021",169.93,173.47,169.69,171.14,170.92,195432700
2021-12-16,"Dec 16, 2021",179.28,181.14,170.75,172.26,172.04,150185800
2021-12-15,"Dec 15, 2021",175.11,179.50,172.31,179.30,179.07,131063300
2021-12-14,"Dec 14, 2021",175.25,177.74,172.21,174.33,174.11,139380400
2021-12-13,"Dec 13, 2021",181.12,182.13,175.53,175.74,175.52,153237000
2021-12-10,"Dec 10, 2021",175.21,179.63,174.69,179.45,179.22,115228100
2021-12-09,"Dec 09, 2021",174.91,176.75,173.92,174.56,174.34,108923700
2021-12-08,"Dec 08, 2021",172.13,175.96,170.70,175.08,174.86,116998900
2021-12-07,"Dec 07, 2021",169.08,171.58,168.34,171.18,170.96,120405400
2021-12-06,"Dec 06, 2021",164.29,167.88,164.28,165.32,165.11,107497000
2021-12-03,"Dec 03, 2021",164.02,164.96,159.72,161.84,161.63,117938300
2021-12-02,"Dec 02, 2021",158.74,164.20,157.80,163.76,163.55,136739200
2021-12-01,"Dec 01, 2021",167.48,170.30,164.53,164.77,164.56,152052500
2021-11-30,"Nov 30, 2021",159.99,165.52,159.92,165.30,165.09,174048100
2021-11-29,"Nov 29, 2021",159.37,161.19,158.79,160.24,160.04,88748200
2021-11-26,"Nov 26, 2021",159.57,160.45,156.36,156.81,156.61,76959800
2021-11-24,"Nov 24, 2021",160.75,162.14,159.64,161.94,161.73,69463600
2021-11-23,"Nov 23, 2021",161.12,161.80,159.06,161.41,161.2,96041900
2021-11-22,"Nov 22, 2021",161.68,165.70,161.00,161.02,160.82,117467900
2021-11-19,"Nov 19, 2021",157.65,161.02,156.53,160.55,160.35,117305600
2021-11-18,"Nov 18, 2021",153.71,158.67,153.05,157.87,157.67,137827700
2021-11-17,"Nov 17, 2021",151.00,155.00,150.99,153.49,153.29,88807000
2021-11-16,"Nov 16, 2021",149.94,151.49,149.34,151.00,150.81,59256200
2021-11-15,"Nov 15, 2021",150.37,151.88,149.43,150.00,149.81,59222800
2021-11-12,"Nov 12, 2021",148.43,150.40,147.48,149.99,149.8,63632600
2021-11-11,"Nov 11, 2021",148.96,149.43,147.68,147.87,147.68,41000000
2021-11-10,"Nov 10, 2021",150.02,150.13,147.85,147.92,147.73,65187100
2021-11-09,"Nov 09, 2021",150.20,151.43,150.06,150.81,150.62,56787900
2021-11-08,"Nov 08, 2021",151.41,151.57,150.16,150.44,150.25,55020900
2021-11-05,"Nov 05, 2021",151.89,152.20,150.06,151.28,151.09,65414600
2021-11-04,"Nov 04, 2021",151.58,152.43,150.64,150.96,150.55,60394600
2021-11-03,"Nov 03, 2021",150.39,151.97,149.82,151.49,151.08,54511500
2021-11-02,"Nov 02, 2021",148.66,151.57,148.65,150.02,149.61,69122000
2021-11-01,"Nov 01, 2021",148.99,149.70,147.80,148.96,148.55,74588300
2021-10-29,"Oct 29, 2021",147.22,149.94,146.41,149.80,149.39,124850400
2021-10-28,"Oct 28, 2021",149.82,153.17,149.72,152.57,152.15,100077900
2021-10-27,"Oct 27, 2021",149.36,149.73,148.49,148.85,148.44,56094900
2021-10-26,"Oct 26, 2021",149.33,150.84,149.01,149.32,148.91,60893400
2021-10-25,"Oct 25, 2021",148.68,149.37,147.62,148.64,148.23,50720600
2021-10-22,"Oct 22, 2021",149.69,150.18,148.64,148.69,148.28,58883400
